"Stem", "Frequency", "Rank", "Probability"
980, 661, 1721.77
981, 662, 1722.65
982, 663, 1723.53
983, 664, 1724.41
984, 665, 1725.28
986, 666, 1727.04
987, 667, 1727.91
988, 668, 1728.79
989, 669, 1729.66
990, 670, 1730.53
991, 671, 1731.41
994, 672, 1734.03
995, 673, 1734.9
996, 674, 1735.77
998, 675, 1737.51
999, 676, 1738.38
1000, 677, 1739.25
1001, 678, 1740.12
1002, 679, 1740.99
1003, 680, 1741.86
1006, 681, 1744.46
1008, 682, 1746.2
1009, 683, 1747.06
1010, 684, 1747.93
1012, 685, 1749.66
1013, 686, 1750.52
1014, 687, 1751.39
1015, 688, 1752.25
1018, 689, 1754.84
1019, 690, 1755.7
1020, 691, 1756.56
1021, 692, 1757.42
1022, 693, 1758.28
1023, 694, 1759.14
1024, 695, 1760
1025, 696, 1760.86
1026, 697, 1761.72
1027, 698, 1762.58
1029, 699, 1764.29
1030, 700, 1765.15
1032, 701, 1766.86
1033, 702, 1767.72
1034, 703, 1768.57
1037, 704, 1771.14
1038, 705, 1771.99
1041, 706, 1774.55
1043, 707, 1776.25
1047, 708, 1779.66
1048, 709, 1780.51
1049, 710, 1781.35
1050, 711, 1782.2
1053, 712, 1784.75
1055, 713, 1786.44
1056, 714, 1787.29
1057, 715, 1788.13
1058, 716, 1788.98
1059, 717, 1789.83
1060, 718, 1790.67
1061, 719, 1791.51
1062, 720, 1792.36
1064, 721, 1794.05
1065, 722, 1794.89
1067, 723, 1796.57
1068, 724, 1797.41
1069, 725, 1798.26
1074, 726, 1802.46
1075, 727, 1803.3
1076, 728, 1804.13
1078, 729, 1805.81
1079, 730, 1806.65
1080, 731, 1807.48
1081, 732, 1808.32
1082, 733, 1809.16
1085, 734, 1811.66
1086, 735, 1812.5
1088, 736, 1814.17
1089, 737, 1815
1091, 738, 1816.67
1092, 739, 1817.5
1093, 740, 1818.33
1094, 741, 1819.16
1095, 742, 1819.99
1096, 743, 1820.82
1097, 744, 1821.65
1100, 745, 1824.14
1101, 746, 1824.97
1102, 747, 1825.8
1103, 748, 1826.63
1104, 749, 1827.46
1108, 750, 1830.76
1109, 751, 1831.59
1110, 752, 1832.42
1111, 753, 1833.24
1113, 754, 1834.89
1114, 755, 1835.72
1115, 756, 1836.54
1116, 757, 1837.36
1117, 758, 1838.19
1119, 759, 1839.83
1120, 760, 1840.65
1122, 761, 1842.29
1123, 762, 1843.12
1124, 763, 1843.94
1134, 764, 1852.12
1135, 765, 1852.94
1137, 766, 1854.57
1139, 767, 1856.2
1140, 768, 1857.01
1141, 769, 1857.83
1142, 770, 1858.64
1143, 771, 1859.46
1144, 772, 1860.27
1145, 773, 1861.08
1146, 774, 1861.89
1147, 775, 1862.71
1148, 776, 1863.52
1149, 777, 1864.33
1150, 778, 1865.14
1152, 779, 1866.76
1153, 780, 1867.57
1155, 781, 1869.19
1156, 782, 1870
1158, 783, 1871.62
1159, 784, 1872.42
1160, 785, 1873.23
1161, 786, 1874.04
1162, 787, 1874.85
1163, 788, 1875.65
1166, 789, 1878.07
1167, 790, 1878.88
1168, 791, 1879.68
1169, 792, 1880.49
1170, 793, 1881.29
1172, 794, 1882.9
1173, 795, 1883.7
1174, 796, 1884.5
1177, 797, 1886.91
1178, 798, 1887.71
1179, 799, 1888.51
1181, 800, 1890.11
1182, 801, 1890.91
1183, 802, 1891.71
1186, 803, 1894.11
