"Stem", "Frequency", "Rank", "Probability"
517, 364, 1250.57
518, 365, 1251.78
520, 366, 1254.19
521, 367, 1255.4
523, 368, 1257.81
524, 369, 1259.01
525, 370, 1260.21
528, 371, 1263.8
530, 372, 1266.2
533, 373, 1269.77
534, 374, 1270.96
535, 375, 1272.15
536, 376, 1273.34
537, 377, 1274.53
538, 378, 1275.72
539, 379, 1276.9
540, 380, 1278.08
541, 381, 1279.27
542, 382, 1280.45
543, 383, 1281.63
545, 384, 1283.99
546, 385, 1285.17
547, 386, 1286.34
548, 387, 1287.52
549, 388, 1288.69
550, 389, 1289.86
551, 390, 1291.04
553, 391, 1293.38
554, 392, 1294.55
556, 393, 1296.88
557, 394, 1298.05
560, 395, 1301.54
561, 396, 1302.7
563, 397, 1305.02
565, 398, 1307.34
566, 399, 1308.49
567, 400, 1309.65
569, 401, 1311.95
570, 402, 1313.11
574, 403, 1317.71
576, 404, 1320
577, 405, 1321.15
578, 406, 1322.29
580, 407, 1324.58
581, 408, 1325.72
584, 409, 1329.14
585, 410, 1330.27
586, 411, 1331.41
587, 412, 1332.54
589, 413, 1334.81
590, 414, 1335.95
591, 415, 1337.08
592, 416, 1338.21
594, 417, 1340.47
596, 418, 1342.72
597, 419, 1343.85
598, 420, 1344.97
599, 421, 1346.1
600, 422, 1347.22
601, 423, 1348.34
602, 424, 1349.46
603, 425, 1350.58
604, 426, 1351.7
606, 427, 1353.94
607, 428, 1355.06
608, 429, 1356.17
609, 430, 1357.29
610, 431, 1358.4
612, 432, 1360.62
613, 433, 1361.74
618, 434, 1367.28
619, 435, 1368.38
620, 436, 1369.49
621, 437, 1370.59
622, 438, 1371.7
623, 439, 1372.8
624, 440, 1373.9
625, 441, 1375
626, 442, 1376.1
628, 443, 1378.3
630, 444, 1380.49
633, 445, 1383.77
634, 446, 1384.86
635, 447, 1385.96
636, 448, 1387.05
637, 449, 1388.14
638, 450, 1389.23
639, 451, 1390.31
640, 452, 1391.4
641, 453, 1392.49
642, 454, 1393.57
643, 455, 1394.66
646, 456, 1397.91
648, 457, 1400.07
650, 458, 1402.23
652, 459, 1404.39
653, 460, 1405.46
655, 461, 1407.61
656, 462, 1408.69
661, 463, 1414.05
664, 464, 1417.25
665, 465, 1418.32
666, 466, 1419.38
667, 467, 1420.45
668, 468, 1421.51
669, 469, 1422.58
670, 470, 1423.64
673, 471, 1426.82
674, 472, 1427.88
675, 473, 1428.94
676, 474, 1430
678, 475, 1432.11
679, 476, 1433.17
680, 477, 1434.22
681, 478, 1435.28
684, 479, 1438.44
687, 480, 1441.59
688, 481, 1442.64
693, 482, 1447.87
694, 483, 1448.91
697, 484, 1452.04
698, 485, 1453.08
699, 486, 1454.12
700, 487, 1455.16
701, 488, 1456.2
702, 489, 1457.24
703, 490, 1458.28
704, 491, 1459.31
705, 492, 1460.35
707, 493, 1462.42
708, 494, 1463.45
711, 495, 1466.55
713, 496, 1468.61
714, 497, 1469.64
715, 498, 1470.67
716, 499, 1471.7
717, 500, 1472.73
718, 501, 1473.75
719, 502, 1474.78
720, 503, 1475.8
721, 504, 1476.83
723, 505, 1478.88
724, 506, 1479.9
726, 507, 1481.94
727, 508, 1482.96
732, 509, 1488.05
736, 510, 1492.11
737, 511, 1493.13
738, 512, 1494.14
741, 513, 1497.17
742, 514, 1498.18
743, 515, 1499.19
744, 516, 1500.2
745, 517, 1501.21
749, 518, 1505.23
751, 519, 1507.24
752, 520, 1508.24
754, 521, 1510.25
756, 522, 1512.25
757, 523, 1513.25
758, 524, 1514.25
759, 525, 1515.25
760, 526, 1516.25
761, 527, 1517.24
762, 528, 1518.24
763, 529, 1519.24
765, 530, 1521.22
766, 531, 1522.22
767, 532, 1523.21
768, 533, 1524.2
769, 534, 1525.2
770, 535, 1526.19
773, 536, 1529.16
774, 537, 1530.15
775, 538, 1531.14
776, 539, 1532.12
777, 540, 1533.11
778, 541, 1534.1
779, 542, 1535.08
782, 543, 1538.03
783, 544, 1539.02
785, 545, 1540.98
786, 546, 1541.96
787, 547, 1542.94
788, 548, 1543.92
789, 549, 1544.9
790, 550, 1545.88
794, 551, 1549.79
798, 552, 1553.69
799, 553, 1554.66
801, 554, 1556.61
802, 555, 1557.58
803, 556, 1558.55
804, 557, 1559.52
808, 558, 1563.39
810, 559, 1565.33
812, 560, 1567.26
813, 561, 1568.22
814, 562, 1569.19
815, 563, 1570.15
816, 564, 1571.11
819, 565, 1574
822, 566, 1576.88
823, 567, 1577.84
825, 568, 1579.75
827, 569, 1581.67
829, 570, 1583.58
830, 571, 1584.53
832, 572, 1586.44
833, 573, 1587.4
835, 574, 1589.3
836, 575, 1590.25
838, 576, 1592.15
840, 577, 1594.05
842, 578, 1595.95
843, 579, 1596.9
844, 580, 1597.84
845, 581, 1598.79
846, 582, 1599.73
847, 583, 1600.68
849, 584, 1602.57
853, 585, 1606.34
854, 586, 1607.28
855, 587, 1608.22
856, 588, 1609.16
858, 589, 1611.04
859, 590, 1611.98
860, 591, 1612.92
862, 592, 1614.79
863, 593, 1615.73
865, 594, 1617.6
866, 595, 1618.53
867, 596, 1619.47
869, 597, 1621.33
871, 598, 1623.2
873, 599, 1625.06
874, 600, 1625.99
875, 601, 1626.92
877, 602, 1628.78
878, 603, 1629.71
879, 604, 1630.64
880, 605, 1631.56
881, 606, 1632.49
883, 607, 1634.34
884, 608, 1635.27
885, 609, 1636.19
887, 610, 1638.04
888, 611, 1638.96
890, 612, 1640.81
891, 613, 1641.73
892, 614, 1642.65
893, 615, 1643.57
894, 616, 1644.49
895, 617, 1645.41
897, 618, 1647.25
898, 619, 1648.17
899, 620, 1649.08
900, 621, 1650
902, 622, 1651.83
903, 623, 1652.75
904, 624, 1653.66
905, 625, 1654.58
908, 626, 1657.32
909, 627, 1658.23
911, 628, 1660.05
912, 629, 1660.96
913, 630, 1661.87
914, 631, 1662.78
915, 632, 1663.69
916, 633, 1664.6
918, 634, 1666.42
919, 635, 1667.33
920, 636, 1668.23
921, 637, 1669.14
922, 638, 1670.04
923, 639, 1670.95
925, 640, 1672.76
927, 641, 1674.57
928, 642, 1675.47
929, 643, 1676.37
930, 644, 1677.27
932, 645, 1679.08
933, 646, 1679.98
935, 647, 1681.78
936, 648, 1682.68
937, 649, 1683.58
939, 650, 1685.37
940, 651, 1686.27
941, 652, 1687.16
952, 653, 1697
970, 654, 1712.97
971, 655, 1713.85
972, 656, 1714.73
973, 657, 1715.61
974, 658, 1716.49
975, 659, 1717.37
976, 660, 1718.25
977, 661, 1719.13
978, 662, 1720.01
979, 663, 1720.89
980, 664, 1721.77
981, 665, 1722.65
982, 666, 1723.53
984, 667, 1725.28
989, 668, 1729.66
990, 669, 1730.53
991, 670, 1731.41
992, 671, 1732.28
993, 672, 1733.15
994, 673, 1734.03
995, 674, 1734.9
996, 675, 1735.77
997, 676, 1736.64
999, 677, 1738.38
1002, 678, 1740.99
1005, 679, 1743.6
1006, 680, 1744.46
1007, 681, 1745.33
1009, 682, 1747.06
1010, 683, 1747.93
1011, 684, 1748.79
1015, 685, 1752.25
1032, 686, 1766.86
1033, 687, 1767.72
1034, 688, 1768.57
1035, 689, 1769.43
1036, 690, 1770.28
1037, 691, 1771.14
1038, 692, 1771.99
1039, 693, 1772.84
1040, 694, 1773.7
1041, 695, 1774.55
1042, 696, 1775.4
1046, 697, 1778.81
1047, 698, 1779.66
1049, 699, 1781.35
1050, 700, 1782.2
1051, 701, 1783.05
1067, 702, 1796.57
1068, 703, 1797.41
1069, 704, 1798.26
1070, 705, 1799.1
1071, 706, 1799.94
1072, 707, 1800.78
1073, 708, 1801.62
1074, 709, 1802.46
1075, 710, 1803.3
1076, 711, 1804.13
1077, 712, 1804.97
1087, 713, 1813.33
1103, 714, 1826.63
1110, 715, 1832.42
1111, 716, 1833.24
1113, 717, 1834.89
1114, 718, 1835.72
